,x,y_tain_loss,y_train_acc,y_test_acc,TP,TN,FP,FN,AUC,y_train_loss,y_test_loss
69,69,,0.9322916666666666,0.7458333373069763,85.0,92.0,28.0,35.0,0.73749995,0.16136430762708187,7.128211498260498
70,70,,0.953125,0.737500011920929,85.0,92.0,28.0,35.0,0.73749995,0.13296766268710294,5.258294105529785
71,71,,0.9322916666666666,0.7708333134651184,85.0,92.0,28.0,35.0,0.73749995,0.1703845535715421,15.75111198425293
72,72,,0.9583333333333334,0.7250000238418579,85.0,92.0,28.0,35.0,0.73749995,0.14177487945804992,14.628024101257324
73,73,,0.9375,0.737500011920929,85.0,92.0,28.0,35.0,0.73749995,0.17200018356864652,7.512537479400635
74,74,,0.953125,0.7416666746139526,85.0,92.0,28.0,35.0,0.73749995,0.16681170463562012,9.975130081176758
75,75,,0.953125,0.6916666626930237,85.0,92.0,28.0,35.0,0.73749995,0.125658694965144,4.508772850036621
76,76,,0.96875,0.7416666746139526,85.0,92.0,28.0,35.0,0.73749995,0.13029156252741814,13.45559310913086
77,77,,0.9427083333333334,0.7666666507720947,85.0,92.0,28.0,35.0,0.73749995,0.13471394342680773,16.919050216674805
78,78,,0.9375,0.7666666507720947,85.0,92.0,28.0,35.0,0.73749995,0.1360122769450148,4.403491020202637
79,79,,0.9635416666666666,0.7666666507720947,85.0,92.0,28.0,35.0,0.73749995,0.14255615199605623,5.290022373199463
80,80,,0.9375,0.7583333253860474,85.0,92.0,28.0,35.0,0.73749995,0.13255024577180544,4.447410583496094
81,81,,0.9427083333333334,0.7416666746139526,85.0,92.0,28.0,35.0,0.73749995,0.11425836974134047,8.287429809570312
82,82,,0.9739583333333334,0.7333333492279053,85.0,92.0,28.0,35.0,0.73749995,0.08938107437764604,2.6417086124420166
83,83,,0.9583333333333334,0.7458333373069763,85.0,92.0,28.0,35.0,0.73749995,0.12195417129745086,6.458108425140381
84,84,,0.9479166666666666,0.7333333492279053,85.0,92.0,28.0,35.0,0.73749995,0.12409980377803247,8.822379112243652
85,85,,0.9739583333333334,0.6958333253860474,85.0,92.0,28.0,35.0,0.73749995,0.09580257534980774,4.416730880737305
86,86,,0.96875,0.7124999761581421,85.0,92.0,28.0,35.0,0.73749995,0.08931473704675834,6.411305904388428
87,87,,0.9479166666666666,0.7708333134651184,85.0,92.0,28.0,35.0,0.73749995,0.15797194993744293,8.919540405273438
88,88,,0.9375,0.75,85.0,92.0,28.0,35.0,0.73749995,0.16484476625919342,3.4318442344665527
89,89,,0.96875,0.762499988079071,85.0,92.0,28.0,35.0,0.73749995,0.0985919216958185,5.638360977172852
