epoch: 125/300, train_loss: 0.0853, train_acc: 0.9740, test_loss: 1.6113, test_acc: 0.8000 
epoch: 126/300, train_loss: 0.1117, train_acc: 0.9635, test_loss: 11.3673, test_acc: 0.7375 
epoch: 127/300, train_loss: 0.0701, train_acc: 0.9688, test_loss: 6.1990, test_acc: 0.7708 
epoch: 128/300, train_loss: 0.0611, train_acc: 0.9896, test_loss: 1.0999, test_acc: 0.7917 
epoch: 129/300, train_loss: 0.0698, train_acc: 0.9635, test_loss: 1.2236, test_acc: 0.8000 
epoch: 130/300, train_loss: 0.0737, train_acc: 0.9844, test_loss: 3.3836, test_acc: 0.7625 
epoch: 131/300, train_loss: 0.1030, train_acc: 0.9583, test_loss: 6.7060, test_acc: 0.7458 
epoch: 132/300, train_loss: 0.0669, train_acc: 0.9844, test_loss: 2.5527, test_acc: 0.7750 
epoch: 133/300, train_loss: 0.1411, train_acc: 0.9427, test_loss: 1.2101, test_acc: 0.8000 
epoch: 134/300, train_loss: 0.0919, train_acc: 0.9740, test_loss: 0.8748, test_acc: 0.8042 
epoch: 135/300, train_loss: 0.0861, train_acc: 0.9688, test_loss: 4.6946, test_acc: 0.7583 
epoch: 136/300, train_loss: 0.1390, train_acc: 0.9375, test_loss: 0.6292, test_acc: 0.8000 
epoch: 137/300, train_loss: 0.0935, train_acc: 0.9740, test_loss: 4.5101, test_acc: 0.7292 
epoch: 138/300, train_loss: 0.0946, train_acc: 0.9688, test_loss: 2.3193, test_acc: 0.7833 
epoch: 139/300, train_loss: 0.1098, train_acc: 0.9635, test_loss: 2.6586, test_acc: 0.7750 
epoch: 140/300, train_loss: 0.1211, train_acc: 0.9635, test_loss: 0.6677, test_acc: 0.7917 
epoch: 141/300, train_loss: 0.1365, train_acc: 0.9375, test_loss: 1.1493, test_acc: 0.7958 
epoch: 142/300, train_loss: 0.1277, train_acc: 0.9531, test_loss: 0.5706, test_acc: 0.8167 
epoch: 143/300, train_loss: 0.0974, train_acc: 0.9531, test_loss: 2.5818, test_acc: 0.7750 
epoch: 144/300, train_loss: 0.0756, train_acc: 0.9740, test_loss: 2.2004, test_acc: 0.8000 
epoch: 145/300, train_loss: 0.1497, train_acc: 0.9583, test_loss: 1.5855, test_acc: 0.7958 
epoch: 146/300, train_loss: 0.1305, train_acc: 0.9479, test_loss: 3.3999, test_acc: 0.7542 
epoch: 147/300, train_loss: 0.1064, train_acc: 0.9583, test_loss: 1.1411, test_acc: 0.7917 
epoch: 148/300, train_loss: 0.0951, train_acc: 0.9688, test_loss: 1.4187, test_acc: 0.7792 
epoch: 149/300, train_loss: 0.0674, train_acc: 0.9792, test_loss: 1.7410, test_acc: 0.7792 
epoch: 150/300, train_loss: 0.1353, train_acc: 0.9479, test_loss: 0.5841, test_acc: 0.8083 
epoch: 151/300, train_loss: 0.0968, train_acc: 0.9688, test_loss: 3.1375, test_acc: 0.7625 
epoch: 152/300, train_loss: 0.0945, train_acc: 0.9688, test_loss: 4.3976, test_acc: 0.7542 
epoch: 153/300, train_loss: 0.0927, train_acc: 0.9792, test_loss: 9.3017, test_acc: 0.7542 
epoch: 154/300, train_loss: 0.0586, train_acc: 0.9844, test_loss: 1.1146, test_acc: 0.7917 
epoch: 155/300, train_loss: 0.0785, train_acc: 0.9688, test_loss: 6.5642, test_acc: 0.7500 
epoch: 156/300, train_loss: 0.0611, train_acc: 0.9844, test_loss: 1.0107, test_acc: 0.8125 
epoch: 157/300, train_loss: 0.0932, train_acc: 0.9583, test_loss: 2.2536, test_acc: 0.7708 
epoch: 158/300, train_loss: 0.0772, train_acc: 0.9740, test_loss: 1.0258, test_acc: 0.8125 
epoch: 159/300, train_loss: 0.1065, train_acc: 0.9583, test_loss: 1.1200, test_acc: 0.7833 
epoch: 160/300, train_loss: 0.1162, train_acc: 0.9635, test_loss: 0.9595, test_acc: 0.8208 
epoch: 161/300, train_loss: 0.1165, train_acc: 0.9531, test_loss: 0.5897, test_acc: 0.8083 
epoch: 162/300, train_loss: 0.0879, train_acc: 0.9844, test_loss: 1.2366, test_acc: 0.7958 
epoch: 163/300, train_loss: 0.1368, train_acc: 0.9479, test_loss: 1.5846, test_acc: 0.7917 
epoch: 164/300, train_loss: 0.0749, train_acc: 0.9844, test_loss: 0.9212, test_acc: 0.7958 
epoch: 165/300, train_loss: 0.0849, train_acc: 0.9792, test_loss: 1.2696, test_acc: 0.7958 
epoch: 166/300, train_loss: 0.1038, train_acc: 0.9583, test_loss: 2.2635, test_acc: 0.7750 
epoch: 167/300, train_loss: 0.0940, train_acc: 0.9583, test_loss: 1.9027, test_acc: 0.7750 
epoch: 168/300, train_loss: 0.0846, train_acc: 0.9688, test_loss: 1.3777, test_acc: 0.7792 
epoch: 169/300, train_loss: 0.1097, train_acc: 0.9635, test_loss: 1.7647, test_acc: 0.7833 
epoch: 170/300, train_loss: 0.1527, train_acc: 0.9375, test_loss: 1.0764, test_acc: 0.8125 
epoch: 171/300, train_loss: 0.0933, train_acc: 0.9635, test_loss: 1.0790, test_acc: 0.8000 
epoch: 172/300, train_loss: 0.0985, train_acc: 0.9583, test_loss: 1.1173, test_acc: 0.7917 
epoch: 173/300, train_loss: 0.0682, train_acc: 0.9792, test_loss: 0.6633, test_acc: 0.7917 
epoch: 174/300, train_loss: 0.0633, train_acc: 0.9792, test_loss: 0.6535, test_acc: 0.8083 
epoch: 175/300, train_loss: 0.1449, train_acc: 0.9479, test_loss: 2.4302, test_acc: 0.7833 
epoch: 176/300, train_loss: 0.1407, train_acc: 0.9427, test_loss: 1.7957, test_acc: 0.7833 
